"","a.Entr","a.Cruza","NormYield"
"1",303,"NOGAL/ALSEN",1888.18043111658
"2",496,"Itapúa 45/Itapúa 40//ALSEN",1726.22727643235
"3",332,"NOGAL/CD 117",1613.64032
"4",497,"Itapúa 45/Itapúa 40//ALSEN",1374.39305016619
"5",304,"NOGAL/ALSEN",1305.54451026064
"6",104,"Itapua 40/IAN 10",1245.3024
"7",477,"NOGAL/CD 117",1189.05634460766
"8",182,"NOGAL/BRS 229",1173.3424
"9",103,"Itapua 40/IAN 10",1122.52628282235
"10",331,"NOGAL/CD 117",1027.40199974139
"11",404,"KRONSTAD F04/ITAPUA 65",1011.97248
"12",495,"NOGAL/Itapúa 75",996.482613511424
"13",284,"NOGAL/ALSEN",986.122684122836
"14",493,"NOGAL/Itapúa 75",981.957421939308
"15",307,"NOGAL/ALSEN",962.668071810054
"16",672,"NOGAL/Itapúa 75//CANINDE 1",955.72448
"17",107,"Itapua 40/IAN 10",906.581795800299
"18",306,"NOGAL/ALSEN",875.625785138681
"19",704,"NOGAL/ALSEN",870.726556964506
"20",609,"NOGAL/CANINDE 3//CD 150",870.30599369572
"21",907,"WAXBILL",869.239350379323
"22",457,"NOGAL/KASORO3",869.146077710903
"23",703,"NOGAL/ALSEN",861.684505825759
"24",489,"NOGAL/Itapúa 75",858.140061081883
"25",628,"NOGAL/KASORO3//CANINDE 1",855
"26",108,"Itapua 40/IAN 10",810.39232
"27",805,"WBLL1*2/TUKURU//ACA 901",809.260800825503
"28",492,"NOGAL/Itapúa 75",804.750164611786
"29",476,"NOGAL/CD 117",804.341108210164
"30",6,"CANINDE 1//MILAN/AMSEL",762.256420760385
"31",258,"NOGAL/CANINDE 3",754.15456
"32",807,"CD 116/CD 108",749.640873122339
"33",115,"Itapua 40/IAN 10",749.567691179926
"34",525,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",744.548776723829
"35",45,"WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42",738.887350561885
"36",665,"NOGAL/Itapúa 75//CANINDE 1",735.207054679328
"37",333,"NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN",733.689392030497
"38",491,"NOGAL/Itapúa 75",733.013299990206
"39",853,"KACHU*2/3/ND643//2*PRL/2*PASTOR",724.498134721518
"40",611,"NOGAL/CANINDE 3//CD 150",720.520015040222
"41",322,"NOGAL/CD 117",717.814414480639
"42",323,"NOGAL/CD 117",705.356645033767
"43",604,"NOGAL/CANINDE 3//CD 150",704.01152
"44",702,"BRBT1*2/KIRITATI//BRS 208",702.590682933097
"45",717,"Itapúa 45/Itapúa 40//ALSEN",701.869877611906
"46",386,"KRONSTAD F04/ITAPUA 65",691.02752
"47",295,"NOGAL/ALSEN",688.911827114107
"48",851,"FRANCOLIN #1/BLOUK #1",677.678078932497
"49",101,"Itapua 40/IAN 10",672.680036738177
"50",376,"BRS GUAMIRIN/CANINDE 3",654.50208
"51",617,"NOGAL/CANINDE 3//CD 150",652.824222214251
"52",28,"CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42",643.53408
"53",285,"NOGAL/ALSEN",640.367892545519
"54",402,"KRONSTAD F04/ITAPUA 65",638.94784
"55",494,"NOGAL/Itapúa 75",632.814555825956
"56",508,"Itapúa 45/Itapúa 40//ALSEN",609.31328
"57",478,"NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN",604.903803922813
"58",232,"Itapúa 45/Itapúa 40//ALSEN",601.86752
"59",726,"Itapua 40 /ACA 901",596.32256
"60",473,"NOGAL/CD 117",587.886834528812
"61",265,"NOGAL/CANINDE 3",586.075193583462
"62",113,"Itapua 40/IAN 10",583.536164036106
"63",605,"NOGAL/CANINDE 3//CD 150",569.134810246736
"64",105,"Itapua 40/IAN 10",569.023219908248
"65",458,"NOGAL/ALSEN",561.830202479924
"66",282,"NOGAL/ALSEN",561.571261392813
"67",668,"NOGAL/Itapúa 75//CANINDE 1",560.098997649535
"68",629,"NOGAL/KASORO3//CANINDE 1",551.862057406556
"69",136,"CD 108/4/BABAX/LR42//BABAX*2/3/TUKURU",549.966867288976
"70",78,"E-04256/CD108//MILAN/MUNIA",547.103655373612
"71",102,"Itapua 40/IAN 10",543.24224
"72",117,"Itapua 40/IAN 10",540.813872012235
"73",527,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",540.672561569923
"74",722,"Itapua 40//ITAPUA-50/ITAPUA-40 ",535
"75",321,"NOGAL/CD 117",533.302426869715
"76",658,"NOGAL/Itapúa 70//CANINDE 1",531.77984
"77",254,"NOGAL/CANINDE 3",526.924480000001
"78",657,"NOGAL/Itapúa 70//CANINDE 1",520.521412244077
"79",529,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",514.730068575886
"80",715,"Itapúa 45/Itapúa 40//ALSEN",508.132298446315
"81",39,"PF 953048/IAPAR 18/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX",507.183244708421
"82",296,"NOGAL/ALSEN",504.96576
"83",329,"NOGAL/CD 117",503.636645380473
"84",135,"ITAPUA 70//ND643/2*WBILL1",503.445881585193
"85",547,"ITAPUA 45/CORDILLERA 4//CD 108",501.266962177135
"86",183,"NOGAL/BRS 229",500.555184782289
"87",27,"BIOINTA1001/BR 18",499.060389811626
"88",358,"BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/CANINDE 1",496.44544
"89",607,"NOGAL/CANINDE 3//CD 150",494.678892723494
"90",759,"Itapúa 75/3/WBLL4/KASO2//PASTOR",492.38709653044
"91",405,"KRONSTAD F04/ITAPUA 65",489.168212953201
"92",459,"NOGAL/ALSEN",489.044305103457
"93",548,"ITAPUA 45/CORDILLERA 4//CD 108",483.59904
"94",123,"Itapua 40/3/ITP35/PF84432//CORD4",482.763812660438
"95",585,"RDWG/MILAN/3/WHU1/VEE#5//CBRD/4/CD 117/5/ND643/2*WBLL1",475.754178128141
"96",297,"NOGAL/ALSEN",471.411822124434
"97",58,"WBLL2//MILAN/AMSEL",470
"98",153,"CANINDE//NG8675/CBRD/3/CANINDE 1",465.525025537192
"99",125,"Itapua 40/3/ITP35/PF84432//CORD4",463.49409556842
"100",666,"NOGAL/Itapúa 75//CANINDE 1",463.232364160689
"101",308,"NOGAL/ALSEN",462.036195915063
"102",867,"BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/WHEAR/SOKOLL",458.063086781564
"103",118,"Itapua 40/3/ITP35/PF84432//CORD4",451.58059029079
"104",96,"Itapua 40/IAN 10",449.783599213523
"105",132,"ITAPUA 75/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ",447
"106",134,"ITAPUA 70//ND643/2*WBILL1",445.720081832758
"107",314,"NOGAL/CD 117",444.034239999999
"108",785,"CANINDE 3/3/PFAU/WEAVER*2//TRANSFER#12,P88.272.2",443.710604727973
"109",264,"NOGAL/CANINDE 3",438.387507776675
"110",618,"NOGAL/KASORO3//CANINDE 1",437.27552
"111",908,"STLN/MUNAL #1",434
"112",293,"NOGAL/ALSEN",427.960669964412
"113",474,"NOGAL/CD 117",427.386341288508
"114",5,"CANINDE 1/CATBIRD DIF 1073",419.21831417676
"115",771,"CANINDE 3/CD 104",416.609553819976
"116",631,"NOGAL/KASORO3//CANINDE 1",410.230160868234
"117",106,"Itapua 40/IAN 10",409.47424
"118",271,"NOGAL/CANINDE 3",409.268946875192
"119",257,"NOGAL/CANINDE 3",407.969314773538
"120",533,"BABAX 42/S09",402.669696499575
"121",787,"CANINDE 3//E 92225/FCEP 30",401.99303586831
"122",531,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",399.457740451265
"123",109,"Itapua 40/IAN 10",395.155941023664
"124",612,"NOGAL/CANINDE 3//CD 150",395.02848
"125",305,"NOGAL/ALSEN",394.076161210847
"126",181,"NOGAL/BRS 229",388.338180717241
"127",283,"NOGAL/ALSEN",384.311016487574
"128",298,"NOGAL/ALSEN",382.98976
"129",162,"CENTINELA/CD 104",382.60768
"130",163,"CRONOX/Itapúa 70",382.53380885225
"131",357,"BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/ITAPUA 70",379.828028904382
"132",18,"CANINDE/4/WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR",376
"133",165,"CRONOX/Itapúa 70",374.333774607319
"134",804,"WBLL1*2/TUKURU//ACA 901",368.35008
"135",475,"NOGAL/CD 117",367.601094553413
"136",615,"NOGAL/CANINDE 3//CD 150",366.89053034784
"137",21,"CANINDE//MILAN/AMSEL",364.941287661316
"138",32,"CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42",359
"139",131,"ITAPUA 40/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ",353.536164036106
"140",509,"Itapúa 45/Itapúa 40//ALSEN",350.877926322215
"141",394,"KRONSTAD F04/ITAPUA 65",348.49792
"142",448,"SAAR/3/PFAU/SERI.1B//AMAD/4/CD104",347.68896
"143",4,"CANINDE 1/CATBIRD DIF 1073",347.059902513303
"144",732,"ITAPUA 65//ND643/2*WBLL1",343.41344
"145",546,"ITAPUA 45/CORDILLERA 4//CD 108",328.17824
"146",215,"CANINDE 1/CD 116",322.436531016381
"147",422,"ND643/2*WBILL1//ITAPUA 40      ",319.95264
"148",186,"S09/ALSEN",319.85184
"149",486,"NOGAL/Itapúa 75",319.8304
"150",571,"IAN 10/ITAPUA 65//SAUSAL CIAT",318.725068068618
"151",154,"TNMU/6/CEP80111/CEP81165/5/MRNG/4/YKT406/3/AG/ASN//ATR/7/BABAX/LR42//BABAX/3/BABAX/LR42/8/CD114",318.216934116457
"152",354,"ITAPUA 75/PEWIT1",315.69536
"153",25,"WBLL2//MILAN/AMSEL",315.662051685657
"154",905,"ATTILA*2/PBW65//MURGA",311.910120907522
"155",29,"CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42",310.263264485834
"156",139,"CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU",309.292019834112
"157",871,"BECARD//ND643/2*WBLL1",309.083962685735
"158",579,"ICAB/LE2242//CANINDE 1",308.536209857187
"159",54,"WBLL2//MILAN/AMSEL",307
"160",231,"Itapúa 45/Itapúa 40//ALSEN",304.713610136179
"161",678,"NOGAL/Itapúa 75//CANINDE 1",304.58656
"162",235,"INIA DON ALBERTO/CANINDE 1",303.398193299207
"163",504,"Itapúa 45/Itapúa 40//ALSEN",303.1696
"164",687,"NOGAL/Itapúa 75//CANINDE 1",301.450912846566
"165",111,"Itapua 40/IAN 10",299.197032304223
"166",708,"NOGAL/CD 104",298.462080000001
"167",403,"KRONSTAD F04/ITAPUA 65",298.09184841536
"168",591,"BRS LAURO/CANINDE 1//CD 150",295.029862759852
"169",676,"NOGAL/Itapúa 75//CANINDE 1",293.68288
"170",602,"NOGAL/CANINDE 3//CD 150",292.40096
"171",287,"NOGAL/ALSEN",290.981476116079
"172",788,"CANINDE 3/KLEIN RAYO",290.73408
"173",528,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",289.63232
"174",313,"NOGAL/CD 117",286.861539446916
"175",41,"PANDORA-INIA/ITAPUA 75//ITAPUA 70",286.558943589252
"176",395,"KRONSTAD F04/ITAPUA 65",283.367483219708
"177",534,"TNMU/CHAPIO//CD 116",278.119996195698
"178",325,"NOGAL/CD 117",276.790436931485
"179",558,"ITAPUA 45/CORDILLERA 4//Itapúa 75",275.97152
"180",126,"Itapua 40/3/ITP35/PF84432//CORD4",275.49824
"181",877,"ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD",269.5
"182",286,"NOGAL/ALSEN",265.07662299907
"183",77,"E-04256/CD108//MILAN/MUNIA",264.947107021902
"184",299,"NOGAL/ALSEN",264.000922992468
"185",121,"Itapua 40/3/ITP35/PF84432//CORD4",259.136145741409
"186",72,"E-04256/CD108//MILAN/MUNIA",258
"187",515,"ONIX//MILAN/AMSEL",255.686649355313
"188",393,"KRONSTAD F04/ITAPUA 65",254.018793648324
"189",734,"ITAPUA 653/3/PFAU/WEAVER*2//TRANSFER#12,P88.272.2",251.72672
"190",471,"NOGAL/CD 117",249.11054298638
"191",375,"BRS GUAMIRIN/CANINDE 3",244.647614920671
"192",654,"NOGAL/Itapúa 70//CANINDE 1",237.79936
"193",112,"Itapua 40/IAN 10",231
"194",217,"TOLLOCAN F05/4/TRAP#1/BOW//PFAU/3/MILAN",229.206067907102
"195",423,"ND643/2*WBILL1//ITAPUA 40      ",227.013402672726
"196",229,"Itapúa 45/Itapúa 40//ALSEN",225.067625644124
"197",882,"NING MAI 96035/FINSI//HEILO/5/CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2",224.62496
"198",816,"CD 150/ACA 901",222.910437261149
"199",809,"CD 116//ITAPUA-50/ITAPUA-40 ",222.83858559631
"200",396,"KRONSTAD F04/ITAPUA 65",220.99136
"201",601,"NOGAL/CANINDE 3//CD 150",220.833394924577
"202",164,"CRONOX/Itapúa 70",220.036799999999
"203",1,"CANINDE 1/Prointa Granar",217.450501647731
"204",764,"Itapúa 75/KLEIN LEON ",216.58368
"205",289,"NOGAL/ALSEN",216.364913399106
"206",673,"NOGAL/Itapúa 75//CANINDE 1",213.048062534475
"207",302,"NOGAL/ALSEN",211.814862652604
"208",311,"NOGAL/CD 104",211.80511058009
"209",218,"TOLLOCAN F05/4/TRAP#1/BOW//PFAU/3/MILAN",208.71136
"210",876,"ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD",206
"211",191,"CATBIRD/BABAX 42",205.932780996407
"212",335,"S09/CD 114",202.047642592105
"213",524,"CANINDE 12/3/PRINIA/BERKUT//PFAU/MILAN",198.77696
"214",623,"NOGAL/KASORO3//CANINDE 1",196.95938015855
"215",659,"NOGAL/CANINDE 1//CD 150",196.16102488006
"216",222,"TOLLOCAN F05/4/TRAP#1/BOW//PFAU/3/MILAN",193.88288
"217",523,"CANINDE 12/CD 116",193.756805207086
"218",353,"ITAPUA 75/PEWIT1",193.033452525269
"219",599,"NOGAL/CANINDE 3//CD 150",189.847041512421
"220",193,"CATBIRD/BABAX 42",187.686624903894
"221",901,"VORB*2/5/CROC_1/AE.SQUARROSA (224)//OPATA/3/RAC655/4/SLVS/PASTOR",173.509379123078
"222",859,"MUTUS//ND643/2*WBLL1",171.5
"223",23,"WBLL2//MILAN/AMSEL",171.460949166261
"224",2,"CANINDE 1/Prointa Granar",170.052682476952
"225",613,"NOGAL/CANINDE 3//CD 150",169.708434671806
"226",312,"NOGAL/CD 104",167.845440000001
"227",878,"ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD",167
