Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
1,1,1,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-2E-1E-1E,1103,187,112,103,3597,x
2,1,2,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-4E-2E-1E,1079,182,109,101,3519,x
3,1,3,,,CANINDE 1/Prointa Granar,CP08001-12E-0E-4E-2E-3E,912,178,92,85,2974,
4,1,4,,,CANINDE 1/CATBIRD DIF 1073,CP08002-3E-0E-1E-1E-1E,1073,183,109,100,3499,
5,1,5,,,CANINDE 1/CATBIRD DIF 1073,CP08002-3E-0E-6E-2E-2E,1054,180,107,99,3437,
6,1,6,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-6E-1E-3E,1125,183,114,105,3669,x
7,1,7,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-8E-2E-1E,912,250,92,85,2972,
8,1,8,,,CANINDE 1//MILAN/AMSEL,CP08006-4E-0E-8E-2E-2E,906,230,92,85,2953,
9,1,9,,,CANINDE 1//MILAN/AMSEL,CP08006-5E-0E-3E-2E-1E,947,196,96,89,3088,
10,1,10,,,ITAPUA 75,,989,211,100,,3224,
11,1,11,,,CANINDE 1//MILAN/AMSEL,CP08006-5E-0E-3E-2E-2E,840,192,85,83,2739,
12,1,12,,,CANINDE 1/PARAGUA CIAT,CP08008-4E-0E-1E-1E-2E,847,198,86,84,2762,
13,1,13,,,CANINDE 1/PARAGUA CIAT,CP08008-4E-0E-1E-1E-4E,993,199,100,98,3238,
14,1,14,,s,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-1E,870,168,88,86,2838,
15,1,15,,,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-2E,865,177,87,86,2821,
16,1,16,,,CORD 3//RL 6040=Thatcher *7/Translocation 4=Lr19,CP08053-5E-0E-6E-2E-3E,848,204,82,84,2765,
17,1,17,,,CANINDE 3/Prointa Granar,CP08058-11E-0E-3E-1E-2E,1069,159,104,106,3487,
18,1,18,,s,CANINDE/4/WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR,CP08115-1E-0E-1E-1E-1E,1133,165,110,112,3696,x
19,1,19,,1,CANINDE/4/WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR,CP08115-1E-0E-1E-1E-3E,1137,180,110,112,3708,x
20,1,20,,,ITAPUA 85,,1033,179,100,,3369,
21,1,21,,1,CANINDE//MILAN/AMSEL,CP08121-9E-0E-4E-1E-4E,1135,168,110,99,3702,x
22,1,22,,s,CANINDE//MILAN/AMSEL,CP08121-9E-0E-4E-1E-5E,1031,174,100,90,3362,
23,1,23,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-2E-2E-4E,1004,168,97,88,3275,
24,1,24,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-2E,942,162,91,83,3073,
25,1,25,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-3E,1016,192,98,89,3313,
26,1,26,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-1E-4E,1017,184,81,89,3316,
27,1,27,fhb,,BIOINTA1001/BR 18,CP08201-6E-0E-2E-1E-1E,1121,171,90,98,3656,
28,1,28,fhb,s,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-1E,1195,168,96,105,3898,x
29,1,29,,s,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-2E,1226,154,98,107,3999,x
30,1,30,,,CANINDE 21,,1249,172,100,,4074,
31,1,31,,,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-4E,1155,156,92,104,3768,x
32,1,32,,,CD 104/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08226-1E-0E-4E-1E-5E,1179,158,94,106,3846,x
33,1,33,,,ONIX//MILAN/AMSEL,CP08261-21E-0E-3E-1E-3E,1113,161,89,100,3630,x
34,1,34,,,F3 DESC CRIA 2010,X 2010-12-0E-1E-1E-4E,1266,158,101,114,4130,x
35,1,35,,,F3 DESC CRIA 2010,X 2010-12-0E-1E-1E-5E,1161,160,93,104,3787,x
36,1,36,,s,F3 DESC CRIA 2010,X 2010-16-0E-4E-1E-4E,1048,164,107,94,3418,
37,1,37,,,F3 DESC CRIA 2011,X 2010-16-0E-4E-1E-4E,936,168,96,84,3053,
38,1,38,,,PF 953048/IAPAR 18/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,CP08184-2E-2E-10E-2E,1154,159,118,104,3764,x
39,1,39,,,PF 953048/IAPAR 18/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,CP08184-2E-2E-10E-3E,1148,161,117,103,3745,x
40,1,40,,,CD 150,,977,153,100,,3187,
41,1,41,,s,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-1E-2E-2E,1112,154,114,109,3628,x
42,1,42,,,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-1E-2E-3E,965,170,99,94,3147,
43,1,43,limpiar,s,PANDORA-INIA/ITAPUA 75//ITAPUA 70,CP08496-1E-2E-2E-1E,1055,166,108,103,3441,
44,1,44,,,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-2E-3E-1E,1062,146,109,104,3465,
45,1,45,,s,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-5E-5E-5E,1212,174,124,118,3953,x
46,1,46,,,WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42,CP08124-7E-0E-7E-7E-3E,1008,162,94,99,3288,
47,1,47,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-2E-10E-1E,957,164,90,94,3122,
48,1,48,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-3E,677,153,63,66,2208,
49,1,49,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-4E,922,154,86,90,3008,
50,2,49,,,DON ALBERTO,,1069,157,100,,3487,
51,2,48,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-3E-4E-8E,996,174,93,88,3248,x
52,2,47,cln,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-1E-2E,1046,176,98,93,3411,
53,2,46,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-4E-1E,1043,168,98,93,3402,x
54,2,45,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-4E-4E-3E,1112,174,104,99,3627,x
55,2,44,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-2E,991,166,93,88,3232,x
56,2,43,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-5E,1138,147,96,101,3713,x
57,2,42,,1,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-7E,1052,149,89,93,3432,x
58,2,41,,,WBLL2//MILAN/AMSEL,CP08130-7E-0E-5E-9E-11E,1121,149,95,100,3657,x
59,2,40,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-1E-3E-2E,1006,151,85,89,3282,
60,2,39,,,ITAPUA 75,,1183,151,100,,3859,
61,2,38,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-2E,1062,158,90,88,3464,
62,2,37,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-3E,969,142,82,80,3161,
63,2,36,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-6E-4E,1011,170,85,84,3297,
64,2,35,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-1E,1014,160,86,84,3308,
65,2,34,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-3E,1040,161,88,86,3392,
66,2,33,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-7E-3E-4E,1022,147,83,85,3334,
67,2,32,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-2E-5E,977,158,79,81,3187,
68,2,31,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-4E-1E,1041,160,84,86,3396,
69,2,30,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-1E-10E-1E,985,170,80,82,3213,
70,2,29,,,ITAPUA 85,,1232,148,100,,4019,
71,2,28,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-2E,1078,159,87,96,3516,x
72,2,27,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-4E,1097,158,89,97,3578,x
73,2,26,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-1E-5E,1125,158,91,100,3670,x
74,2,25,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-2E-3E-2E,1068,165,87,95,3484,
75,2,24,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-1E-2E,1089,166,88,96,3552,
76,2,23,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-9E-2E,1032,181,101,91,3365,
77,2,22,,,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-3E-10E-1E,1055,156,103,93,3441,
78,2,21,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-1E-2E,1233,161,120,109,4022,x
79,2,20,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-7E-2E,1190,177,116,105,3881,x
80,2,19,,,CANINDE 21,,1025,172,100,,3343,
81,2,18,,1,E-04256/CD108//MILAN/MUNIA,CP08422-1E-0E-5E-7E-3E,1063,184,104,104,3466,
82,2,17,,,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-3E,959,165,94,94,3128,
83,2,16,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-4E,1066,158,104,104,3477,
84,2,15,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-8E-5E,1042,176,102,102,3398,
85,2,14,,1,PARULA/CD 104,CP7021-1E-1E-0E-1E-12E-3E,1153,161,113,113,3761,x
86,2,13,,s,PARULA/CD 104,CP7021-1E-1E-0E-1E-12E-4E,1085,151,107,106,3540,x
87,2,12,,,PARULA/CD 104,CP7021-1E-1E-0E-2E-9E-6E,1112,177,109,109,3627,x
88,2,11,,,PARULA/CD 104,CP7021-1E-1E-0E-2E-11E-1E,878,154,86,86,2864,
89,2,10,,,PARULA/CD 104,CP7021-1E-1E-0E-3E-7E-1E,1113,178,109,109,3630,x
90,2,9,,,CD 150,,1018,187,100,,3320,
91,2,8,,1,PARULA/CD 104,CP7021-1E-1E-0E-3E-9E-4E,1180,172,116,109,3849,x
92,2,7,,1,PARULA/CD 104,CP7021-1E-1E-0E-3E-9E-8E,1208,194,119,111,3939,x
93,2,6,,1,PARULA/CD 104,CP7021-1E-1E-0E-4E-2E-6E,1122,212,110,103,3658,x
94,2,5,,,PARULA/CD 104,CP7021-1E-1E-0E-6E-1E-3E,1050,179,103,97,3424,
95,2,4,,1,PARULA/CD 104,CP7021-1E-1E-0E-6E-1E-4E,1081,217,106,100,3524,x
96,2,3,,,Itapua 40/IAN 10,CP6333-1E-0E-6E-0E-1E-5E-4E,1112,182,97,103,3626,x
97,2,2,,,Itapua 40/IAN 10,CP6333-1E-0E-6E-0E-1E-5E-5E,974,158,85,90,3177,
98,2,1,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-1E-2E-1E,896,164,78,83,2923,
99,3,1,,,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-2E-2E,1121,192,97,103,3655,x
100,3,2,,,DON ALBERTO,,1150,195,100,,3750,
101,3,3,,1,Itapua 40/IAN 10,CP6333-5E-0E-2E-0E-2E-2E-3E,1364,204,119,113,4447,x
